codgr	libgr	sougr	libsougr	codal	libal	libgren	libsougren	codsougr
3	pâtes	1	pâtes alimentaires	9822	pâtes alimentaires aux oeufs cuites	pasta	pasta	31
3	pâtes	1	pâtes alimentaires	9871	pâtes alimentaires au blé complet cuites	pasta	pasta	31
3	pâtes	2	pâtes pour pâtisserie prêtes à l'emploi	23412	pâte brisée cuite	pasta	tart dough	32
3	pâtes	2	pâtes pour pâtisserie prêtes à l'emploi	23422	pâte feuilletée cuite	pasta	tart dough	32
4	riz et blé dur ou concassé	1	blé	9081	blé dur précuit nature type ebly	rice or wheat	wheat	41
4	riz et blé dur ou concassé	1	blé	9683	couscous (graine seule) semoule cuite	rice or wheat	wheat	41
4	riz et blé dur ou concassé	2	riz	9103	riz complet cuit	rice or wheat	rice	42
4	riz et blé dur ou concassé	2	riz	9104	riz blanc cuit	rice or wheat	rice	42
4	riz et blé dur ou concassé	2	riz	9105	riz blanc étuvé cuit	rice or wheat	rice	42
5	autres céréales	99	sans	9230	pop corn ou maïs éclaté à l'huile salé	other cereals	other cereals	599
5	autres céréales	99	sans	9313	flocons d'avoine cuits à l'eau	other cereals	other cereals	599
5	autres céréales	99	sans	9615	polenta ou semoule de maïs cuite	other cereals	other cereals	599
5	autres céréales	99	sans	9660	germes de blé	other cereals	other cereals	599
6	viennoiserie	99	sans	7601	croissant sans précision	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	7615	croissant ordinaire artisanal	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	7620	croissant au beurre artisanal	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	7650	croissant aux amandes artisanal	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	7710	pain au lait artisanal	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	7720	pain aux raisins	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	7730	pain au chocolat feuilleté artisanal	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	7740	brioche industrielle préemballée	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	7741	brioche sans précision	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	23480	chausson aux pommes	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	24660	palmier artisanal	viennoiserie	viennoiserie	699
6	viennoiserie	99	sans	92510	autre viennoiserie	viennoiserie	viennoiserie	699
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24000	biscuit sec sans précision	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24002	biscuit diététique à teneur garantie en vitamines	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24003	biscuit diététique à teneur garantie en vitamines et minéraux	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24015	biscuit sec petit beurre	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24016	biscuit sec petit beurre + tablette de chocolat type lu petit écolier	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24031	biscuit sec corquant genre tuile sans chocolat allégé en matière grasse	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24034	biscuit sec pour petit déjeuner type lu ou prince	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24036	biscuit sec au chocolat sans précision	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24037	biscuit sec fourré à la pâte de fruit type figolu à la figue	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24038	biscuit sec nappé de chocolat type pépito ou mikado lu	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24049	galette ou sablé ou palet type galette du mont saint michel	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24231	goûter sec fourré au chocolat type prince ou bn au chocolat	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24310	gaufrette fourrée fourrage autre qu'aux fruits (chocolat vanille noisette…)	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24320	gaufrette fourrée aux fruits type paille d'or aux framboises	biscuits	sweet biscuits	71
