,Unnamed: 0,codgr,libgr,sougr,libsougr,codal,libal,libgren,libsougren,codsougr,codgr_,sougr_,codal_,codsougr_
42,42,2,céréales pour petit déjeuner,3,céréales aux fruits frais ou secs,32110,muesli floconneux aux fruits ou aux fruits secs enrichi en vitamines et minéraux,breakfast cereals,cereals with fruit,23,2,1223,223332110,223
43,43,2,céréales pour petit déjeuner,3,céréales aux fruits frais ou secs,32111,muesli croustillant aux fruits ou aux fruits secs enrichi en vitamines et minéra,breakfast cereals,cereals with fruit,23,2,1223,223332111,223
44,44,2,céréales pour petit déjeuner,3,céréales aux fruits frais ou secs,32113,muesli floconneux aux fruits ou aux fruits secs sans sucre ajouté type alpen,breakfast cereals,cereals with fruit,23,2,1223,223332113,223
45,45,2,céréales pour petit déjeuner,3,céréales aux fruits frais ou secs,32123,"pétales de blé avec noix, noisettes ou amandes enrichis en vitamines et minéraux",breakfast cereals,cereals with fruit,23,2,1223,223332123,223
46,46,2,céréales pour petit déjeuner,4,autres céréales pour petit déjeuner,32004,muesli sans précision,breakfast cereals,other breakfast cereals,24,2,1224,224332004,224
47,47,2,céréales pour petit déjeuner,4,autres céréales pour petit déjeuner,32018,céréales fourrées fourrage autre que chocolat enrichies en vitamines b1 b2 b6 b9,breakfast cereals,other breakfast cereals,24,2,1224,224332018,224
48,48,2,céréales pour petit déjeuner,4,autres céréales pour petit déjeuner,90032,autres céréales sucrées pour petit déjeuner,breakfast cereals,other breakfast cereals,24,2,1224,224390032,224
49,49,3,pâtes,1,pâtes alimentaires,9811,pâtes alimentaires cuites,pasta,pasta,31,3,1321,32139811,321
50,50,3,pâtes,1,pâtes alimentaires,9822,pâtes alimentaires aux oeufs cuites,pasta,pasta,31,3,1321,32139822,321
51,51,3,pâtes,1,pâtes alimentaires,9871,pâtes alimentaires au blé complet cuites,pasta,pasta,31,3,1321,32139871,321
52,52,3,pâtes,2,pâtes pour pâtisserie prêtes à l'emploi,23412,pâte brisée cuite,pasta,tart dough,32,3,1322,322323412,322
53,53,3,pâtes,2,pâtes pour pâtisserie prêtes à l'emploi,23422,pâte feuilletée cuite,pasta,tart dough,32,3,1322,322323422,322
54,54,4,riz et blé dur ou concassé,1,blé,9081,blé dur précuit nature type ebly,rice or wheat,wheat,41,4,1421,42139081,421
